City,Country,Map Location,Resort_Name,Resort_Details,image_0,image_1,About,Amenities,Directions,Other Information
British Columbia,Canada,?q=4341+Village+Lane+WHISTLER+BC+Canada+VON+1B4&z=16,Clock Tower by Vacation Internationale,clocktowerbyvacationinternationale.html,images/c23.jpg,images/c24.jpg,"Sure to please any traveler, enjoy the spectacular scenery and season activities which include hiking, golf camps, biking, tennis tournaments and music festivals. Rising one vertical mile above 7,000 acres of mountain terrain that includes 200 marked trails, twelve magnificent bowls and three glaciers, Whistler and Blackcomb Mountains offer a paradise for skiers and snowboarders! Clock Tower resort, a quaint European-style inn, is located on Whistler Village central square adjacent to ski lift stations and a short walk to restaurants, bistros and old-world village shops.","Air Conditioning, Satellite TV, Telephone, Cable TV","From Vancouver Airport, take Granville Street North out of the airport, through downtown and over the Granville Bridge. Take the Seymour Street Exit on the right. Proceed north to Georgia Street. Turn left and proceed west through Stanley Park and across the Lion's Gate Bridge. Follow the sign to Highway 1 West and continue on Highway 1 to the North 99 exit, ""Sea to Sky Highway"". Continue to Whistler Village. Turn right onto Village Gate Boulevard into the Village of Whistler. Turn right ont Blackcomb Way and right at the light onto Sundial Crescent, which becomes Village Lane. The Clock Tower entrance is on the left.",
British Columbia,Canada,?q=120%20Kingston%20St.+VICTORIA+BC+Canada+V8V%201V4,Worldmark Victoria,worldmarkvictoria.html,images/c25.jpg,images/c26.jpg,"Named for one of history's most remarkable women, the Worldmark Victoria reigns supreme over the breathtaking beauty of Vancouver Island, British Columbia and surrounded by the extraordinary features of the Pacific Northwest. Victoria strikes a balance between metropolitan life and rustic wilderness. WorldMark Victoria offers a swimming pool and is near restaurants and shops in the Victoria, British Columbia area for your entertainment. After a full day, return to the resort for tea time. Be sure to visit the world-famous Butchart Gardens, Royal British Columbia Museum and the amazing Victoria Butterfly Gardens.Victoria has many more beautiful parks, golf courses, boating, sport fishing, scuba diving and more to keep your interest and your days and night full. On-site amenities include a swimming pool, hot tub, fitness center, and underground parking. Each unit has a fireplace, washer/dryer, cable TV, stereo, CD player, balcony or terrace, barbeque grill, and kitchen with a dishwasher and microwave.",,"Carpet, Coffee Making Facilities, Colour TV, Dishwasher, Fireplace (some), Fridge, Microwave (some), Oven, Stove, Telephone - Dial in Only, Washer/Dryer (Some)",
British Columbia,Canada,?q=Site+30-11+R.R.+1+CELISTA+BC+Canada+V0E+1L0&z=10,St Ives on Shuswap,stivesonshuswap.html,images/c27.jpg,images/c28.jpg,"St. Ives is located in the Thompson-Okanagan region of beautiful British Columbia, Canada. Nestled on the sunny north shore of Shuswap Lake, surrounded by the Monashee Mountains and Shuswap highlands, St. Ives resort is truly a vacation paradise. Home of the world famous Adams River salmon run and the beautiful Shuswap Lake Provinicial Park, the North Shuswap is an outdoor adventure playground.","Fireplace, Microwave, Dishwasher (Some)","To travel to the North Shuswap, take the Squilax Bridge off Trans Canada Highway, Number 1, between Chase and Sorrento. As you cross the bridge over the Adams River, you are in the North Shuswap. Travel east on the paved and scenic Squilax-Anglemont Highway, along the north shore of Shuswap lake. The paved road ends at St. Ives (approximately 55 km).",
British Columbia,Canada,"?q=Sicamous,+BC,+Canada&hl=en&sll=37.0625,-95.677068&sspn=23.875,57.630033&z=13",Grand Lake Front Resort Canada at Shuswap Lake,grandlakefrontresortcanadaatshuswaplake.html,images/c29.jpg,images/c30.jpg,"Shuswap Lake in the Southern Interior of British Columbia offers more than 1,000 kilometres of shoreline to explore, amidst spectacular scenery and a pristine environment. Located in the heart of B.C.'s famous Shuswap Lake recreational area Salmon Arm is not only the Okanagan Valley's northern gateway, but also the Shuswap's bustling centre of commerce, government services and institutional facilities. It is located midway between Calgary to the east and Vancouver to the west. The Shuswap boasts the largest houseboat fleet in Canada, and one of the largest in the world, offering a wonderful way to vacation with family and friends, lazily drifting along the lake gazing at blue skies and gorgeous mountains. Each Houseboat will sleep 8 people comfortably. All boats are equipped with a barbeque on the back deck as well as table and chairs on the upper deck. The following accessories are included, microwave, CD Stereo , toaster, VHF Marine Radio , coffee maker Dishes/Cutlery, blender, cooking utensils, TV/VCR Life Jackets . While taking in the spectacular scenery make sure you enjoy the many beaches and swimming spots along the way. Don't forget to cast that fishing rod for a chance to barbeque your catch of the day. ""The Houseboat Capital of Canada"" is a center for swimmers, waterskiers, fishermen, nature lovers and boaters with its beautiful shoreline, sandy beaches and marine parks. Those interested in exploring the surrounding areas will find the rolling hills and dense forests a natural paradise. For a detailed listing of the many, many activities to enjoy in the Salmon Arm and Shuswap Lake area, visit www.salmonarm.worldweb.com. *As of 2009, anyone operating a houseboat in Canada will be required by Federal Law to carry a Boating License. For your convenience, we've included links where you can find more information regarding obtaining your license. Please visit websites www.tc.gc.ca , www.boatexam.com or www.freecourse.ca. Otherwise, please visit your government agency for more information. Approximate charges: Propane $15.00, Septic removal $35.00, Captains Orientation $100.00, Insurance option either $1500.00 deposit (liable for all damages) or Insurance $100.00 with $500.00 deductible. Fuel costs approximately $200.00 to $400.00 depending upon usage. *As of 2009, anyone operating a houseboat in Canada will be required by Federal Law to carry a Boating License. For your convenience, we've included links where you can find more information regarding obtaining your license. Please visit websites www.tc.gc.ca , www.boatexam.com or www.freecourse.ca. Otherwise, please visit your government agency for more information.","Coffee Making Facilities, Colour TV, MicrowaveToaster, VCR","From Vancouver (going East): From Vancouver take #1 (Trans Canada Highway) to Hope, B.C. From Hope take #5 (Coquihalla Highway) to Kamloops, B.C. From Kamloops take #1 to Sicamous. Once in Sicamous turn right onto Highway 97-A intersection and then immediately turn right again onto the Main Street. Follow Main Street to Riverside Avenue and turn left. Continue down Riverside Avenue until you come to the Three Buoys Marina (about three blocks). From Calgary (going West): From Calgary take #1 (Trans Canada Highway) to Sicamous. Once in Sicamous, turn left onto Highway 97-A intersection and then immediately turn right again onto the Main Street. Follow Main Street to Riverside Avenue and turn left. Continue down Riverside Avenue until you come to the Three Buoys Marina.",
British Columbia,Canada,"maps?q=2751+Westside+Road,+KELOWNA,+BC,+V1Z+3T1+Canada&hl=en&sll=1.352083,103.819836&sspn=0.763331,0.505371&z=16",Lake Okanagan Resort,lakeokanaganresort.html,images/c31.jpg,images/c32.jpg,"Just 20 minutes from the charming town of Kelowna, British Columbia this beautiful resort is situated by Lake Kelowna surrounded by breathtaking mountain scenery. This area is frequently referred to as the Napa of the North, with over 100 local wineries, many of them having received top international awards. Activities are endless and the setting is incredible. Lake Okanagan Resort is only 20 minutes from the shops, restaurants and city lights of Kelowna. But if you prefer to play in the great outdoors, everything is right in our own back yard. Recapture your senses in the Morrocan themed spa. Golf at the challenging 9-hole executive course, appealing to both recreational golfers and scratch players. Cool off in one of the pools, or warm up in any of the indoor and outdoor Jacuzzis or saunas. Want to explore the lake? Check out the full-service marina where you can rent power boats, ski-tow boats, wave runners, wakeboards, water-skis, paddle boats, canoes and kayaks. Water-skiing and wakeboard lessons are also available. There is even a small Water Park featuring in-water trampolines! It's fun for two or for the entire family!","Air Conditioning (Some), Balcony, Colour TV, Dishwasher (Some), Fireplace (some), Fridge, Microwave, Spa (Some), Telephone, Washer/Dryer (Some)","From the Kelowna International Airport : West on HWY 97, North on Westside Rd.",
British Columbia,Canada,"maps?q=+KELOWNA,+BC,+V4V+1P4+Canada&hl=en&sll=37.0625,-95.677068&sspn=38.22949,32.34375&z=16",Holiday Park Resort,holidayparkresort.html,images/c33.jpg,images/c34.jpg,"Holiday Park Resort is an all seasons destination for a wide variety of travelers. Located just north of Kelowna, on the shores of Duck Lake, this RV and Condo Resort is surrounded by challenging golf courses, major ski hills, crystal blue lakes, orchards, world-renowned wineries, art galleries, casinos and quality festivals. Enjoy beautifully decorated, spacious and furnished Studio, One bedroom and Two bedroom condominium units ranging in size from 372 square feet to 1100 square feet. Must advise the Resort at 250/766 4255 Ext ""0"" of late arrival, a $25.00 late arrival fee will be charged if arriviing after 10:00 p.m. All units are non-smoking.","VCR, Colour TV","From the Kelowna Airport, follow HWY 97 and turn right at the boat on Common Wealth Road.",
British Columbia,Canada,?q=1310+Water+Street++KELOWNA+BC+Canada+V1Y+9P3&z=16,Delta Grand Okanagan Resort,deltagrandokanaganresort.html,images/c35.jpg,images/c36.jpg,"Nestled on along the shores of Okanagan Lake, the choices of activities are endless. Conveniently located within the Delta Grand Okanagan Resort's property are a par 3, 9-hole golf course, 7 tennis courts, a day spa, marina, riding stables, outdoor pools, hiking trails, trampoline, Water Park and more. The Delta Grand Okanagan Resort is located on the sparkling shores of Okanagan Lake in the town of Kelowna, British Columbia Canada. It's an ideal getaway for families. Rent bicycles, boats, kayaks, go fishing or relax at the beach. Or simply walk from your suite to one of the indoor and outdoor pools, hot tubs, sauna, fitness centre, and casino. In addition to impeccable lakes and streams, the resort also boasts award-winning wines vineyards. For winter vacationers, the mountains of the Okanagan are popular draw for all winter sports, including skiing, snowmobiling, and skating. All suites include kitchen facilities, walk-out balconies and a view of the lake, golf course or forest parkland. Make yourself at home. Accommodations at the Delta Grand Okanagan Resort have been made for every taste. Resort charges a $75 per week parking fee.","Coffee Making Facilitie, sColour TV, Fridge, Hairdryer, Microwave, Radio, Satellite TV, Spa (Some), Telephone","The closest airport is Kelowna Airport, about 27 kms or 17 miles from the resort. Turn left (south) onto Hwy 97 from the airport. Stay on Hwy 97, which becomes Harvey Avenue, as you drive into Kelowna. Turn right onto Water Street and go about 5-6 blocks. The Grand Okanagan Resort is on the left.",
British Columbia,Canada,"maps?q=PANORAMA,+BC,+V0A+1T0+Canada&hl=en&ll=50.457067,-116.238441&spn=0.059672,0.063171&sll=37.926868,-95.712891&sspn=35.853596,32.34375&z=13",Panorama Mountain Village,panoramamountainvillage.html,images/c37.jpg,images/c38.jpg,"Panorama Resort is located in Panorama, British Columbia in Canada. Panorama Resort offers a swimming pool and is near restaurants and shops in the Panorama, British Columbia area for your entertainment.","Dishwasher, Fireplace, Microwave, Telephone","The Class ""A"" highways are well maintained and the drive through Banff and Kootenay National Parks is one of the the most scenic in the world. Located only 2 hours southwest of Banff in the spectacular BC Rockies, turn south off Trans Canada #1 onto Highway 93 to Radium Hot Springs. Travel south on Highway 93/95 to Invermere (14km). Panorama is well marked 18 km west of Invermere.",
British Columbia,Canada,?q=5247+Fairmont+Creek+Road+FAIRMONT+HOT+SPRINGS+BC+Canada+V0B+1L1&z=16,Fairmont Vacation Villas at Mountainside,fairmontvacationvillasatmountainside.html,images/c39.jpg,images/c40.jpg,"Located in beautiful Fairmont, British Columbia, Fairmont Mountainside Vacation Villas offers every visitor an extraordinary vacation experience amongst championship golf courses, challenging ski slopes, natural hot springs, pristine lakes and majestic mountains. This all season resort offers breathtaking scenery and exciting adventures that are sure to create lasting memories for all who visit. Surrounded by the beauty of the Columbian Valley, Fairmont Mountainside Vacation Villas offer cozy one and two bedroom chalet style villas, nestled among towering pine trees and regal mountains. The villas are designed to provide the best of mountain living, featuring spacious living areas and all the comforts of home, including: a fireplace, gas barbeque, high speed internet, fully equipped kitchen and washer and dryer. Handicapped and infant equipment are also available upon request. Resort guests are invited to utilize the on-site recreation center, an ideal place to participate in activities, socialize or just sit back and relax. The recreation center offers amenities for guests of all ages and activity levels, including tennis, squash and racquetball courts, an exercise room, sauna and hot tubs, shuffleboard, billiards, a lounge area and even a library. Mountainside Vacation Villas also employs a full-time recreation director, who organizes supervised activities for all guests, such as craft room activities and hikes. Guests are also able to take advantage of discounted rates to golf courses, hot mineral pools, skiing and some local restaurants. The area surrounding the resort offers more that breathtaking scenery and exiting wildlife. Guests who wish to venture off the resort property will find golf courses, a ski hill, hot mineral pools, fishing, hiking, AV trails and mountain biking terrain and trail rides. Also in the Columbia Valley are snowmobiling, beaches and white water rafting. Whether guests are looking for a thrilling adventure, or just want a picture perfect getaway set against nature's most beautiful backdrop, Fairmont Mountainside is sure to provide a memorable vacation for all who visit.","BBQ, Cable TV, Fridge, Microwave, Oven, Stove Top, VCR, Washer/Dryer","From Cranbrook, BC Take highway 95 north for 115 Km. Upon entering Fairmont Hot Springs, cross the bridge and take the first right onto Fairmont Creek Road (opposite entrance to Riverside Golf Estates). Proceed uphill, following signs to the recreation centre. From Calgary, Alberta Take Trans Canada highway #1 west (100 Km) to highway 93 (Junction Overpass). Proceed on highway 93 to Radium (100 Km). At Radium turn south at the four way stop (Highway 93/95) and proceed 48 Km to Fairmont. Continue through Fairmont to the south end of town. Before the bridge, turn east (left) onto Fairmont Creek Road (located opposite the Riverside Golf Estates entrance). Proceed up the hill, following signs to the recreation centre",
British Columbia,Canada,?q=5006+Fairmont+Frontage+Rd+FAIRMONT+HOT+SPRINGS+BC+Canada+V0B+1L0&z=16,Sunchaser Vacation Villas at Hillside,sunchaservacationvillasathillside.html,images/c41.jpg,images/c42.jpg,"In the heart of the majestic Columbia Valley, a recreational wonderland awaits guests to this resort all year round. Guests can choose to simply lounge around, go golfing, skiing, riding, hiking, or just soak in the hot springs. Sunchaser Vacation Villas are right next door to it all, including the majestic Rocky Mountains. And with elegant villa accommodation, you won't be disappointed.","Late Arrivals : If you expect to arrive late for check in, please ensure you telephone the resort (on the above number) prior to arriving to make arrangements for the key.","Coffee Making Facilities, Colour TV x 2, Fireplace, Telephone, Washer/Dryer",
